,account_id,post_id,Category,Page,Post.URL,Date.Published,Post.Type,Rating,Debate,share_count,reaction_count,comment_count
371,2.19367E+14,1.28222E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1282217985153365,9/19/2016,link,mostly true,,6,56,30
372,2.19367E+14,1.28223E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1282229875152176,9/19/2016,link,mostly true,,72,584,215
373,2.19367E+14,1.28224E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1282241045151059,9/19/2016,video,mostly true,,51,330,584
374,2.19367E+14,1.28225E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1282252058483291,9/19/2016,link,mostly true,,156,377,284
375,2.19367E+14,1.28229E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1282286438479853,9/19/2016,link,mostly true,,11,88,117
376,2.19367E+14,1.28229E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1282289901812840,9/19/2016,video,mostly true,,119,1687,2877
377,2.19367E+14,1.28231E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1282313501810480,9/19/2016,link,mostly true,,150,636,382
378,2.19367E+14,1.28233E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1282326468475850,9/19/2016,link,mostly true,,17,138,130
379,2.19367E+14,1.28235E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1282350721806758,9/19/2016,link,mostly true,,95,251,231
405,2.19367E+14,1.28296E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1282958578412639,9/20/2016,photo,no factual content,,3,28,61
437,2.19367E+14,1.28353E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1283530558355441,9/20/2016,link,no factual content,,2,37,82
752,1.35665E+14,5.51473E+14,right,Eagle Rising,https://www.facebook.com/theEagleisRising/posts/551473135056199,9/19/2016,link,mostly false,,1966,1773,82
754,1.35665E+14,5.51473E+14,right,Eagle Rising,https://www.facebook.com/theEagleisRising/posts/551473235056189,9/19/2016,photo,mostly false,,7577,2989,146
763,1.35665E+14,5.51474E+14,right,Eagle Rising,https://www.facebook.com/theEagleisRising/posts/551474158389430,9/19/2016,link,mostly false,,1507,1107,147
767,1.35665E+14,5.51518E+14,right,Eagle Rising,https://www.facebook.com/theEagleisRising/posts/551518215051691,9/19/2016,link,mostly false,,138,212,80
786,1.35665E+14,5.51705E+14,right,Eagle Rising,https://www.facebook.com/theEagleisRising/posts/551705221699657,9/19/2016,link,mostly false,,3304,1996,220
789,1.35665E+14,5.51764E+14,right,Eagle Rising,https://www.facebook.com/theEagleisRising/posts/551763711693808,9/19/2016,link,mostly false,,75,140,11
797,1.35665E+14,5.51828E+14,right,Eagle Rising,https://www.facebook.com/theEagleisRising/posts/551827871687392,9/20/2016,link,mostly false,,40,42,13
803,1.35665E+14,5.51829E+14,right,Eagle Rising,https://www.facebook.com/theEagleisRising/posts/551828675020645,9/20/2016,link,mostly false,,2778,1063,165
827,1.35665E+14,5.52056E+14,right,Eagle Rising,https://www.facebook.com/theEagleisRising/posts/552055944997918,9/20/2016,link,mostly false,,32,66,42
829,1.35665E+14,5.52094E+14,right,Eagle Rising,https://www.facebook.com/theEagleisRising/posts/552093584994154,9/20/2016,link,mostly false,,559,534,31
845,1.35665E+14,5.52216E+14,right,Eagle Rising,https://www.facebook.com/theEagleisRising/posts/552216391648540,9/21/2016,link,mostly false,,858,496,50
847,1.35665E+14,5.52216E+14,right,Eagle Rising,https://www.facebook.com/theEagleisRising/posts/552216481648531,9/21/2016,link,mostly false,,186,164,51
760,1.35665E+14,5.51474E+14,right,Eagle Rising,https://www.facebook.com/theEagleisRising/posts/551474015056111,9/19/2016,link,mostly true,,38,114,14
761,1.35665E+14,5.51474E+14,right,Eagle Rising,https://www.facebook.com/theEagleisRising/posts/551474061722773,9/19/2016,link,mostly true,,26,71,34
762,1.35665E+14,5.51474E+14,right,Eagle Rising,https://www.facebook.com/theEagleisRising/posts/551474098389436,9/19/2016,link,mostly true,,21,38,4
750,1.35665E+14,5.51097E+14,right,Eagle Rising,https://www.facebook.com/theEagleisRising/posts/551096688427177,9/19/2016,photo,no factual content,,593,639,29
751,1.35665E+14,5.51097E+14,right,Eagle Rising,https://www.facebook.com/theEagleisRising/posts/551096721760507,9/19/2016,photo,no factual content,,89,200,5
753,1.35665E+14,5.51473E+14,right,Eagle Rising,https://www.facebook.com/theEagleisRising/posts/551473158389530,9/19/2016,photo,no factual content,,155,819,6
755,1.35665E+14,5.51473E+14,right,Eagle Rising,https://www.facebook.com/theEagleisRising/posts/551473311722848,9/19/2016,photo,no factual content,,1193,1099,263
757,1.35665E+14,5.51474E+14,right,Eagle Rising,https://www.facebook.com/theEagleisRising/posts/551473548389491,9/19/2016,link,no factual content,,22,111,6
758,1.35665E+14,5.51474E+14,right,Eagle Rising,https://www.facebook.com/theEagleisRising/posts/551473871722792,9/19/2016,link,no factual content,,6,17,3
777,1.35665E+14,5.51519E+14,right,Eagle Rising,https://www.facebook.com/theEagleisRising/posts/551519151718264,9/19/2016,photo,no factual content,,500,467,16
778,1.35665E+14,5.51519E+14,right,Eagle Rising,https://www.facebook.com/theEagleisRising/posts/551519225051590,9/19/2016,photo,no factual content,,99,182,31
756,1.35665E+14,5.51473E+14,right,Eagle Rising,https://www.facebook.com/theEagleisRising/posts/551473381722841,9/19/2016,link,mixture of true and false,,101,190,36
759,1.35665E+14,5.51474E+14,right,Eagle Rising,https://www.facebook.com/theEagleisRising/posts/551473965056116,9/19/2016,link,mixture of true and false,,29,174,8
764,1.35665E+14,5.51474E+14,right,Eagle Rising,https://www.facebook.com/theEagleisRising/posts/551474225056090,9/19/2016,link,mixture of true and false,,17,63,32
765,1.35665E+14,5.51475E+14,right,Eagle Rising,https://www.facebook.com/theEagleisRising/posts/551474598389386,9/19/2016,link,mixture of true and false,,201,224,40
768,1.35665E+14,5.51518E+14,right,Eagle Rising,https://www.facebook.com/theEagleisRising/posts/551518255051687,9/19/2016,link,mixture of true and false,,264,290,10
1040,4.40106E+14,1.24566E+15,right,Freedom Daily,https://www.facebook.com/FreedomDailyNews/posts/1245661855495929,9/19/2016,link,mixture of true and false,,2965,4607,3728
1049,4.40106E+14,1.24624E+15,right,Freedom Daily,https://www.facebook.com/FreedomDailyNews/posts/1246242658771182,9/19/2016,link,mixture of true and false,,95,259,16
1053,4.40106E+14,1.24649E+15,right,Freedom Daily,https://www.facebook.com/FreedomDailyNews/posts/1246491382079643,9/19/2016,link,mixture of true and false,,82,857,49
1036,4.40106E+14,1.24566E+15,right,Freedom Daily,https://www.facebook.com/FreedomDailyNews/posts/1245655948829853,9/19/2016,link,mostly true,,1511,2281,191
1038,4.40106E+14,1.24566E+15,right,Freedom Daily,https://www.facebook.com/FreedomDailyNews/posts/1245659788829469,9/19/2016,link,mostly true,,65,185,8
