account_id,post_id,Category,Page,Post URL,Date Published,Post Type,Rating,Debate,share_count,reaction_count,comment_count
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1246059202153798,9/20/2016,link,mixture of true and false,,21884,17028,4888
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1246082085484843,9/20/2016,link,mixture of true and false,,1204,3585,530
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1246088545484197,9/20/2016,link,mixture of true and false,,10654,13342,1807
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1246101198816265,9/20/2016,link,mixture of true and false,,3813,12549,1461
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1246126732147045,9/20/2016,link,mixture of true and false,,16922,47802,1880
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1246599022099816,9/20/2016,link,mixture of true and false,,16599,22532,2444
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1246675775425474,9/20/2016,video,mixture of true and false,,347294,293333,32419
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1246739995419052,9/20/2016,link,mixture of true and false,,13073,26222,1395
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1247033108723074,9/20/2016,link,mixture of true and false,,17046,22454,1405
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1247777691981949,9/21/2016,video,mixture of true and false,,119516,54316,6523
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1247839045309147,9/21/2016,link,mixture of true and false,,2527,5184,608
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1248555601904158,9/22/2016,link,mixture of true and false,,11036,19289,2073
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1248714078554977,9/22/2016,video,mixture of true and false,,874,1584,625
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1248758405217211,9/22/2016,video,mixture of true and false,,9854,18236,578
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1248868088539576,9/22/2016,link,mixture of true and false,,5881,9508,1025
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1249949455098106,9/23/2016,link,mixture of true and false,,3640,7812,554
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1249977691761949,9/23/2016,link,mixture of true and false,,6328,9788,791
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1252629544830097,9/26/2016,link,mixture of true and false,,14507,55692,4068
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1252720634820988,9/26/2016,photo,mixture of true and false,,12626,19499,780
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1253016078124777,9/26/2016,link,mixture of true and false,yes,3367,8926,279
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1253171768109208,9/27/2016,link,mixture of true and false,yes,8404,26021,3775
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1253224401437278,9/27/2016,link,mixture of true and false,yes,1166,7585,203
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1253266704766381,9/27/2016,link,mixture of true and false,yes,10975,20953,525
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1253276448098740,9/27/2016,link,mixture of true and false,yes,3483,19265,1015
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1253904648035920,9/27/2016,video,mixture of true and false,yes,76113,87538,8339
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1254011831358535,9/27/2016,link,mixture of true and false,,1225,7503,172
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1254110944681957,9/27/2016,link,mixture of true and false,yes,7540,15205,1484
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1254114411348277,9/27/2016,link,mixture of true and false,,11923,15228,4217
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1254256018000783,9/27/2016,link,mixture of true and false,,12897,17085,1487
1.15E+14,1.46E+15,left,The Other 98%,https://www.facebook.com/TheOther98/posts/1463039507040356,9/20/2016,link,mixture of true and false,,4338,18160,906
1.15E+14,1.47E+15,left,The Other 98%,https://www.facebook.com/TheOther98/posts/1465038840173756,9/21/2016,video,mixture of true and false,,,6931,474
1.15E+14,1.47E+15,left,The Other 98%,https://www.facebook.com/TheOther98/posts/1466055430072097,9/22/2016,link,mixture of true and false,,3582,7945,629
1.15E+14,1.47E+15,left,The Other 98%,https://www.facebook.com/TheOther98/posts/1466093066735000,9/22/2016,link,mixture of true and false,,9664,8836,507
1.15E+14,1.47E+15,left,The Other 98%,https://www.facebook.com/TheOther98/posts/1466135163397457,9/22/2016,video,mixture of true and false,,24522,23284,985
1.15E+14,1.47E+15,left,The Other 98%,https://www.facebook.com/TheOther98/posts/1467143326629974,9/23/2016,link,mixture of true and false,,4749,7665,548
1.15E+14,1.47E+15,left,The Other 98%,https://www.facebook.com/TheOther98/posts/1467440196600287,9/23/2016,video,mixture of true and false,,27845,16152,3092
1.15E+14,1.47E+15,left,The Other 98%,https://www.facebook.com/TheOther98/posts/1471327616211545,9/27/2016,link,mixture of true and false,yes,2443,9244,1090
1.15E+14,1.47E+15,left,The Other 98%,https://www.facebook.com/TheOther98/posts/1472006522810321,9/27/2016,link,mixture of true and false,yes,516,2397,334
1.15E+14,1.47E+15,left,The Other 98%,https://www.facebook.com/TheOther98/posts/1472551312755842,9/27/2016,link,mixture of true and false,,8236,12083,856
1.46E+14,1.45E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1446522352054899,9/19/2016,link,mostly true,,130,1032,382
1.46E+14,1.45E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1446671962039938,9/19/2016,link,mostly true,,1190,5112,293
1.46E+14,1.45E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1446692758704525,9/19/2016,link,mostly true,,1018,4388,122
1.46E+14,1.45E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1446693125371155,9/19/2016,link,mostly true,,375,3015,88
1.46E+14,1.45E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1446716095368858,9/19/2016,link,mostly true,,557,1597,225
1.46E+14,1.45E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1446717032035431,9/19/2016,link,mostly true,,894,3454,325
1.46E+14,1.45E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1446984445342023,9/19/2016,link,mostly true,,132,866,183
1.46E+14,1.45E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1447242135316254,9/19/2016,link,mostly true,,1138,5281,318
1.46E+14,1.45E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1447381958635605,9/19/2016,link,mostly true,,827,3491,161
1.46E+14,1.45E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1447394558634345,9/19/2016,link,mostly true,,426,2475,124
1.46E+14,1.45E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1447449521962182,9/19/2016,link,mostly true,,896,2707,305
1.46E+14,1.45E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1447567931950341,9/19/2016,link,mostly true,,1935,4933,444
1.46E+14,1.45E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1447573508616450,9/19/2016,link,mostly true,,261,931,365
1.46E+14,1.45E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1447680388605762,9/19/2016,link,mostly true,,1147,3403,386
1.46E+14,1.45E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1447689015271566,9/19/2016,link,mostly true,,248,894,66
