account_id,post_id,Category,Page,Post URL,Date Published,Post Type,Rating,Debate,share_count,reaction_count,comment_count
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1038636096234616,9/23/2016,link,mostly true,,9,107,21
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1038670552897837,9/23/2016,photo,mostly true,,2,12,9
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1038699376228288,9/23/2016,link,mostly true,,1,41,3
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1038757716222454,9/23/2016,link,mostly true,,6,21,8
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1038758292889063,9/23/2016,photo,mostly true,,26,178,84
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1038777582887134,9/23/2016,link,mostly true,,20,108,46
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1038788812886011,9/23/2016,video,mostly true,,,156,15
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1038804176217808,9/23/2016,link,mostly true,,9,74,21
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1038834739548085,9/23/2016,link,mostly true,,81,748,154
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1038844909547068,9/23/2016,video,mostly true,,,9,11
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1038860559545503,9/23/2016,link,mostly true,,21,160,26
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1038891872875705,9/23/2016,link,mostly true,,7,59,9
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1038922299539329,9/23/2016,link,mostly true,,6,22,8
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1038926896205536,9/23/2016,link,mostly true,,5,61,22
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1038949176203308,9/23/2016,link,mostly true,,4,28,4
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1038973039534255,9/23/2016,link,mostly true,,4,44,32
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1038984299533129,9/23/2016,link,mostly true,,60,262,31
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1040988309332728,9/26/2016,link,mostly true,,5,45,29
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1041035462661346,9/26/2016,link,mostly true,,14,261,59
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1041085625989663,9/26/2016,link,mostly true,,11,63,24
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1041098459321713,9/26/2016,video,mostly true,,134,166,33
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1041131422651750,9/26/2016,link,mostly true,,2,26,23
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1041172582647634,9/26/2016,link,mostly true,,7,19,5
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1041207925977433,9/26/2016,video,mostly true,,27,138,166
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1041224572642435,9/26/2016,video,mostly true,,,24,12
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1041225769308982,9/26/2016,link,mostly true,,8,22,29
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1041248449306714,9/26/2016,link,mostly true,,15,94,54
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1041257462639146,9/26/2016,video,mostly true,,196,1014,86
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1041389565959269,9/26/2016,link,mostly true,,29,133,36
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1041420999289459,9/26/2016,video,mostly true,,19,131,13
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1041471579284401,9/26/2016,video,mostly true,yes,12,67,23
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1041476135950612,9/26/2016,video,mostly true,yes,38,154,39
